ID,sums,Ancien_ID,Nom,Statut,Latitude,Longitude,Annee_implante,geometry
100054073,67894.0,,16e Avenue / Bélanger,Actif,45.56071317,-73.59063629,2019,POINT (45.56071317 -73.59063629)
100003040,298066.0,12.0,Pierre-Dupuy,Actif,45.50127,-73.54441,2010,POINT (45.50127 -73.54441)
100052606,76311.0,,Bennett,Actif,45.55508439,-73.53881875,2019,POINT (45.55508439 -73.53881875)
100003032,1026713.0,3.0,Berri1,Actif,45.516216,-73.56297,2010,POINT (45.516216 -73.56297)
100053057,0.0,,Bord-du-Lac vers est,Inactif_Déplacé,45.44692243,-73.78279125,2019,POINT (45.44692243 -73.78279125)
100053058,0.0,,Bord-du-Lac vers ouest,Inactif_Déplacé,45.44699363,-73.78264165,2019,POINT (45.44699363 -73.78264165)
100035408,330822.0,,Boyer / Everett,Actif,45.54346079,-73.61668337,2017,POINT (45.54346079 -73.61668337)
100012218,330349.0,29.0,Boyer / Rosemont,Actif,45.53365,-73.59459,2013,POINT (45.53365 -73.59459)
100004575,332027.0,2.0,Brébeuf / Rachel,Actif,45.527496,-73.57432,2009,POINT (45.527496 -73.57432)
100053209,151439.0,,Camillien-Houde 1,Actif,45.50861582,-73.59116352,2019,POINT (45.50861582 -73.59116352)
100035409,196392.0,,Christophe-Colomb/Louvain,Actif,45.55773,-73.64662,2017,POINT (45.55773 -73.64662)
100003041,422126.0,8.0,Côte Sainte-Catherine / Stuart,Actif,45.5149,-73.607506,2010,POINT (45.5149 -73.607506)
300020478,397125.0,,Eco-Display - Maisonneuve and Greene,Actif,45.48689914,-73.58942408,2021,POINT (45.48689914 -73.58942408)
100007390,635278.0,37.0,Eco-Display - Métro Laurier,Actif,45.5277722,-73.58883237,2013,POINT (45.5277722 -73.58883237)
100041114,278427.0,,Eco-Display Parc Stanley,Actif,45.55759297,-73.67322198,2018,POINT (45.55759297 -73.67322198)
100041101,12389.0,,Edmond Valade,Actif,45.54168,-73.68448,2017,POINT (45.54168 -73.68448)
100052604,160530.0,,Estacade,Actif,45.46675097,-73.53382547,2019,POINT (45.46675097 -73.53382547)
100034805,0.0,,Gouin / Lajeunesse,Inactif,45.55766079,-73.6734252,2017,POINT (45.55766079 -73.6734252)
100057500,151531.0,4.0,Maisonneuve / Berri,Inactif_Travaux,45.5149245,-73.56137946,2008,POINT (45.5149245 -73.56137946)
100011783,312799.0,17.0,Maisonneuve / Marcil,Actif,45.470493,-73.609566,2013,POINT (45.470493 -73.609566)
100003039,934623.0,5.0,Maisonneuve / Peel,Actif,45.500507,-73.57497,2008,POINT (45.500507 -73.57497)
100056188,0.0,,Maisonneuve / Plessis,En maintenance,45.52133353,-73.55549918,2019,POINT (45.52133353 -73.55549918)
100057053,216904.0,,Maisonneuve / Vendôme,Actif,45.4737062,-73.60486182,2019,POINT (45.4737062 -73.60486182)
100057050,16977.0,,Maurice-Duplessis,Actif,45.65913035,-73.54248335,2019,POINT (45.65913035 -73.54248335)
100054241,39577.0,,McGill / William,Actif,45.49983514,-73.5560498,2020,POINT (45.49983514 -73.5560498)
100001753,231967.0,18.0,Notre-Dame,Actif,45.530216,-73.544426,2013,POINT (45.530216 -73.544426)
100052605,100287.0,,Notre-Dame Est / Bellerive,Actif,45.59192916,-73.51000707,2019,POINT (45.59192916 -73.51000707)
100003042,566358.0,22.0,Parc / Duluth,Actif,45.51385,-73.58151,2010,POINT (45.51385 -73.58151)
100052603,392467.0,,Piste Des Carrières,Actif,45.53416013,-73.59146415,2019,POINT (45.53416013 -73.59146415)
100052601,13095.0,,Pont Ile Bizard,Actif,45.48622152,-73.86606424,2019,POINT (45.48622152 -73.86606424)
100002880,524579.0,10.0,Pont Jacques-Cartier,Actif,45.52550826,-73.55442203,2011,POINT (45.52550826 -73.55442203)
